user_id,registration_date,user_type,country,platform,device_type
120,2025-01-04,regular,UK,iOS,Ring_v2
121,2025-01-27,regular,Germany,iOS,Ring_v1
122,2025-01-29,power,Sweden,iOS,Ring_v2
123,2025-01-26,casual,UK,iOS,Ring_v2
124,2025-01-25,casual,Finland,iOS,Ring_pro
125,2025-01-20,casual,UK,Android,Ring_v2
126,2025-01-17,casual,Sweden,Android,Ring_v2
127,2025-01-03,regular,Sweden,Android,Ring_v2
128,2025-01-13,power,Finland,iOS,Ring_pro
129,2025-01-12,casual,UK,Android,Ring_v1
130,2025-01-08,regular,Finland,Android,Ring_v1
131,2025-01-22,casual,Finland,Android,Ring_v1
132,2025-01-15,casual,Finland,Android,Ring_v1
133,2025-01-03,casual,Sweden,Android,Ring_v2
134,2025-01-07,casual,Sweden,iOS,Ring_v2
135,2025-01-21,power,Germany,iOS,Ring_v2
136,2025-01-03,casual,UK,Android,Ring_v1
137,2025-01-26,regular,Finland,Android,Ring_v2
138,2025-01-15,regular,Germany,Android,Ring_v1
139,2025-01-15,casual,Finland,iOS,Ring_v2
140,2025-01-18,power,UK,iOS,Ring_v2
141,2025-01-25,power,Germany,iOS,Ring_v1
142,2025-01-11,casual,Sweden,Android,Ring_v1
143,2025-01-21,casual,Germany,iOS,Ring_v1
144,2025-01-17,casual,Finland,iOS,Ring_pro
145,2025-01-09,casual,Finland,iOS,Ring_pro
146,2025-01-27,casual,Germany,iOS,Ring_v2
147,2025-01-24,regular,Finland,Android,Ring_v1
148,2025-01-20,regular,Finland,Android,Ring_v2
149,2025-01-26,casual,Finland,Android,Ring_v2
150,2025-01-27,casual,Germany,iOS,Ring_v2
151,2025-01-22,power,Finland,Android,Ring_v1
152,2025-01-26,casual,Finland,iOS,Ring_v1
153,2025-01-21,casual,Germany,Android,Ring_v2
154,2025-01-21,casual,Germany,iOS,Ring_v1
155,2025-01-19,power,Finland,iOS,Ring_v1
156,2025-01-23,casual,Finland,Android,Ring_v1
157,2025-01-05,regular,Finland,Android,Ring_v2
158,2025-01-27,regular,Finland,iOS,Ring_pro
159,2025-01-27,casual,Finland,Android,Ring_pro
160,2025-01-01,regular,Germany,iOS,Ring_v2
161,2025-01-25,casual,Sweden,iOS,Ring_v2
162,2025-01-04,regular,Sweden,iOS,Ring_v1
163,2025-01-11,regular,Finland,iOS,Ring_v2
164,2025-01-23,regular,Germany,iOS,Ring_v1
165,2025-01-05,casual,Finland,iOS,Ring_v2
166,2025-01-25,regular,UK,iOS,Ring_v1
167,2025-01-25,casual,Sweden,Android,Ring_v1
168,2025-01-16,casual,Finland,iOS,Ring_v1
169,2025-01-01,casual,Sweden,Android,Ring_v1
170,2025-01-09,regular,Finland,iOS,Ring_v1
171,2025-01-19,regular,Sweden,Android,Ring_v1
172,2025-01-30,casual,Finland,iOS,Ring_pro
173,2025-01-19,regular,Finland,iOS,Ring_v2
174,2025-01-08,casual,UK,iOS,Ring_v2
175,2025-01-20,regular,Finland,iOS,Ring_pro
176,2025-01-17,casual,Germany,iOS,Ring_pro
177,2025-01-24,regular,Finland,Android,Ring_v2
178,2025-01-04,casual,Sweden,Android,Ring_pro
179,2025-01-23,power,Sweden,Android,Ring_v1
180,2025-01-17,casual,Sweden,Android,Ring_v1
181,2025-01-29,casual,Finland,iOS,Ring_v2
182,2025-01-11,casual,Finland,iOS,Ring_v2
183,2025-01-19,power,Finland,iOS,Ring_v2
184,2025-01-28,power,Finland,iOS,Ring_v1
185,2025-01-04,casual,Sweden,iOS,Ring_v1
186,2025-01-29,regular,UK,iOS,Ring_v2
187,2025-01-21,regular,UK,iOS,Ring_v1
188,2025-01-03,regular,Germany,iOS,Ring_v2
189,2025-01-10,regular,Germany,Android,Ring_v2
190,2025-01-22,casual,Sweden,Android,Ring_v2
191,2025-01-03,casual,Finland,iOS,Ring_v2
192,2025-01-18,power,UK,Android,Ring_pro
193,2025-01-11,power,Sweden,Android,Ring_v2
194,2025-01-19,regular,Sweden,iOS,Ring_v2
195,2025-01-02,casual,Finland,iOS,Ring_v2
196,2025-01-27,casual,Finland,iOS,Ring_v1
197,2025-01-30,regular,Finland,Android,Ring_v1
198,2025-01-30,power,UK,Android,Ring_v1
199,2025-01-23,power,Sweden,iOS,Ring_v2
200,2025-01-04,regular,Finland,iOS,Ring_v2
201,2025-01-23,regular,UK,iOS,Ring_pro
202,2025-01-01,casual,Finland,iOS,Ring_v1
203,2025-01-01,casual,Finland,iOS,Ring_v1
204,2025-01-10,power,Finland,Android,Ring_pro
205,2025-01-15,regular,Germany,Android,Ring_v1
206,2025-01-24,casual,UK,Android,Ring_v2
207,2025-01-21,casual,Finland,Android,Ring_v2
208,2025-01-14,regular,UK,Android,Ring_v2
209,2025-01-09,casual,Finland,iOS,Ring_v1
210,2025-01-30,casual,UK,Android,Ring_v1
211,2025-01-13,regular,Germany,iOS,Ring_v1
212,2025-01-14,regular,Germany,Android,Ring_v2
213,2025-01-05,regular,Finland,iOS,Ring_v2
214,2025-01-24,casual,UK,Android,Ring_v1
215,2025-01-21,regular,Germany,iOS,Ring_v2
216,2025-01-07,casual,Finland,iOS,Ring_pro
217,2025-01-03,casual,Germany,iOS,Ring_v1
218,2025-01-21,regular,Finland,iOS,Ring_v2
219,2025-01-20,regular,UK,Android,Ring_v2
220,2025-01-09,regular,Finland,Android,Ring_v1
221,2025-01-29,regular,Germany,iOS,Ring_v1
222,2025-01-05,regular,Sweden,iOS,Ring_v2
223,2025-01-13,casual,Finland,iOS,Ring_pro
224,2025-01-29,casual,Finland,iOS,Ring_pro
225,2025-01-13,casual,Finland,iOS,Ring_v2
226,2025-01-20,casual,Finland,Android,Ring_v2
227,2025-01-12,power,Finland,iOS,Ring_v1
228,2025-01-09,casual,Sweden,iOS,Ring_v2
229,2025-01-30,power,Finland,iOS,Ring_v2
230,2025-01-13,regular,Finland,iOS,Ring_v1
231,2025-01-27,regular,Germany,iOS,Ring_v2
232,2025-01-07,regular,Finland,Android,Ring_v2
233,2025-01-07,regular,UK,iOS,Ring_v1
234,2025-01-01,casual,UK,iOS,Ring_pro
235,2025-01-20,casual,Sweden,iOS,Ring_v1
236,2025-01-12,regular,Sweden,iOS,Ring_v1
237,2025-01-26,casual,UK,iOS,Ring_v1
238,2025-01-15,casual,Finland,Android,Ring_v2
239,2025-01-30,regular,Finland,Android,Ring_v2
240,2025-01-06,casual,Finland,iOS,Ring_v1
241,2025-01-27,power,Germany,iOS,Ring_v2
242,2025-01-24,power,Finland,iOS,Ring_v1
243,2025-01-24,power,Sweden,iOS,Ring_v2
244,2025-01-26,casual,UK,Android,Ring_v2
245,2025-01-23,casual,UK,Android,Ring_v2
246,2025-01-19,power,Sweden,iOS,Ring_pro
247,2025-01-04,casual,Finland,iOS,Ring_v1
248,2025-01-01,power,Germany,iOS,Ring_v1
249,2025-01-28,power,Sweden,Android,Ring_v2
250,2025-01-19,power,Finland,Android,Ring_pro
251,2025-01-24,casual,Finland,iOS,Ring_v1
252,2025-01-15,casual,UK,iOS,Ring_v1
253,2025-01-04,power,Sweden,Android,Ring_v1
254,2025-01-04,casual,Germany,iOS,Ring_v2
255,2025-01-21,casual,UK,iOS,Ring_v1
256,2025-01-13,regular,Sweden,iOS,Ring_v2
257,2025-01-07,power,Sweden,Android,Ring_pro
258,2025-01-15,regular,Finland,iOS,Ring_v2
259,2025-01-02,regular,Finland,iOS,Ring_v1
260,2025-01-18,casual,Finland,Android,Ring_v2
261,2025-01-09,regular,Germany,iOS,Ring_v1
262,2025-01-24,power,Sweden,iOS,Ring_pro
263,2025-01-10,casual,UK,iOS,Ring_v2
264,2025-01-14,regular,Finland,iOS,Ring_v1
265,2025-01-01,power,Sweden,Android,Ring_v2
266,2025-01-03,regular,Sweden,iOS,Ring_v2
267,2025-01-12,regular,Sweden,iOS,Ring_v2
268,2025-01-15,regular,Germany,iOS,Ring_v1
269,2025-01-19,casual,Finland,Android,Ring_pro
270,2025-01-09,casual,Sweden,Android,Ring_pro
271,2025-01-21,regular,Finland,iOS,Ring_v2
272,2025-01-26,regular,Finland,iOS,Ring_pro
273,2025-01-24,power,Finland,Android,Ring_v1
274,2025-01-02,power,Sweden,iOS,Ring_v2
275,2025-01-15,regular,UK,Android,Ring_v2
276,2025-01-04,regular,Sweden,Android,Ring_v2
277,2025-01-08,regular,Germany,Android,Ring_v2
278,2025-01-30,regular,Sweden,iOS,Ring_v1
279,2025-01-05,regular,Sweden,iOS,Ring_v1
280,2025-01-15,regular,Finland,Android,Ring_v1
281,2025-01-19,power,Finland,iOS,Ring_v1
282,2025-01-22,casual,Finland,iOS,Ring_v2
283,2025-01-17,casual,Finland,Android,Ring_v1
284,2025-01-01,casual,Finland,Android,Ring_v1
285,2025-01-10,regular,Finland,iOS,Ring_v2
286,2025-01-16,casual,Finland,iOS,Ring_v2
287,2025-01-03,casual,UK,iOS,Ring_pro
288,2025-01-11,regular,Finland,Android,Ring_v2
289,2025-01-01,casual,Finland,Android,Ring_v1
290,2025-01-03,regular,Finland,iOS,Ring_pro
291,2025-01-12,casual,Sweden,iOS,Ring_v2
292,2025-01-04,casual,Finland,Android,Ring_v1
293,2025-01-18,regular,Finland,iOS,Ring_v2
294,2025-01-21,casual,Sweden,iOS,Ring_pro
295,2025-01-25,casual,Finland,Android,Ring_v1
296,2025-01-07,regular,Finland,iOS,Ring_v1
297,2025-01-06,regular,Finland,Android,Ring_v1
298,2025-01-04,casual,Finland,iOS,Ring_v1
299,2025-01-20,regular,Finland,iOS,Ring_v2
300,2025-01-22,casual,Finland,Android,Ring_v2
301,2025-01-01,casual,Germany,iOS,Ring_v1
302,2025-01-29,regular,Sweden,Android,Ring_pro
303,2025-01-02,regular,Sweden,iOS,Ring_v2
304,2025-01-17,regular,Finland,iOS,Ring_v2
305,2025-01-22,regular,UK,iOS,Ring_pro
306,2025-01-27,power,Finland,iOS,Ring_v1
307,2025-01-22,regular,Finland,iOS,Ring_v2
308,2025-01-25,casual,Sweden,iOS,Ring_v2
309,2025-01-11,regular,Finland,iOS,Ring_pro
310,2025-01-25,casual,Finland,iOS,Ring_v2
311,2025-01-03,casual,Sweden,Android,Ring_v1
312,2025-01-27,casual,UK,Android,Ring_pro
313,2025-01-17,casual,Finland,Android,Ring_v1
314,2025-01-25,power,Germany,iOS,Ring_pro
315,2025-01-14,regular,UK,iOS,Ring_pro
316,2025-01-20,regular,Finland,Android,Ring_v1
317,2025-01-16,casual,Finland,iOS,Ring_v2
318,2025-01-22,casual,Finland,iOS,Ring_v1
319,2025-01-03,casual,Finland,Android,Ring_v2
320,2025-01-02,casual,Finland,Android,Ring_v2
321,2025-01-08,regular,UK,iOS,Ring_v2
322,2025-01-05,regular,Germany,iOS,Ring_pro
323,2025-01-27,regular,Sweden,Android,Ring_v2
324,2025-01-07,casual,Finland,iOS,Ring_v2
325,2025-01-30,power,Germany,Android,Ring_pro
326,2025-01-11,regular,UK,Android,Ring_pro
327,2025-01-06,regular,Germany,Android,Ring_v1
328,2025-01-24,regular,Finland,iOS,Ring_pro
329,2025-01-20,casual,Sweden,iOS,Ring_v1
330,2025-01-15,casual,Finland,Android,Ring_pro
331,2025-01-17,casual,Finland,Android,Ring_v1
332,2025-01-22,regular,Finland,Android,Ring_v1
333,2025-01-07,casual,Sweden,iOS,Ring_v2
334,2025-01-30,casual,Sweden,iOS,Ring_v2
335,2025-01-30,casual,Finland,Android,Ring_v1
336,2025-01-20,casual,Finland,Android,Ring_v1
337,2025-01-06,power,Finland,Android,Ring_v2
338,2025-01-21,regular,Finland,Android,Ring_pro
339,2025-01-03,casual,Finland,iOS,Ring_v1
340,2025-01-01,casual,Finland,Android,Ring_v1
341,2025-01-08,casual,Germany,Android,Ring_v2
342,2025-01-14,casual,Finland,iOS,Ring_v1
343,2025-01-27,casual,Finland,Android,Ring_pro
344,2025-01-22,casual,Finland,iOS,Ring_pro
345,2025-01-23,casual,UK,iOS,Ring_v2
346,2025-01-13,regular,Sweden,Android,Ring_v1
347,2025-01-11,regular,Sweden,iOS,Ring_v2
348,2025-01-12,casual,Finland,iOS,Ring_v2
349,2025-01-30,casual,Sweden,iOS,Ring_pro
350,2025-01-02,regular,Finland,iOS,Ring_v2
351,2025-01-27,regular,Sweden,iOS,Ring_v2
352,2025-01-18,power,UK,iOS,Ring_v2
353,2025-01-14,regular,Sweden,Android,Ring_v2
354,2025-01-22,casual,UK,iOS,Ring_pro
355,2025-01-15,casual,Germany,iOS,Ring_v2
356,2025-01-27,regular,Finland,iOS,Ring_v2
357,2025-01-28,casual,UK,Android,Ring_v1
358,2025-01-13,regular,Finland,iOS,Ring_v2
359,2025-01-09,power,Sweden,Android,Ring_v2
360,2025-01-18,regular,Finland,Android,Ring_v1
361,2025-01-28,casual,Finland,Android,Ring_v1
362,2025-01-07,regular,Finland,iOS,Ring_v2
363,2025-01-19,casual,Finland,Android,Ring_v2
364,2025-01-19,regular,Finland,iOS,Ring_v2
365,2025-01-22,power,Sweden,Android,Ring_v1
366,2025-01-04,casual,Finland,Android,Ring_v2
367,2025-01-22,power,Finland,iOS,Ring_v1
368,2025-01-28,power,Sweden,iOS,Ring_v2
369,2025-01-06,casual,Finland,iOS,Ring_v1
370,2025-01-08,casual,Germany,Android,Ring_v1
371,2025-01-30,casual,Sweden,iOS,Ring_v1
372,2025-01-06,casual,Germany,iOS,Ring_v1
373,2025-01-26,casual,Sweden,iOS,Ring_v1
374,2025-01-15,regular,Finland,Android,Ring_v1
375,2025-01-08,casual,Sweden,Android,Ring_v2
376,2025-01-27,casual,Finland,Android,Ring_v2
377,2025-01-14,regular,Finland,Android,Ring_v1
378,2025-01-16,casual,Germany,iOS,Ring_pro
379,2025-01-11,regular,Finland,iOS,Ring_v1
380,2025-01-18,casual,Germany,Android,Ring_v2
381,2025-01-05,casual,Germany,iOS,Ring_v1
382,2025-01-12,regular,UK,iOS,Ring_v1
383,2025-01-30,regular,UK,iOS,Ring_v2
384,2025-01-08,power,Finland,iOS,Ring_v2
385,2025-01-20,regular,Finland,iOS,Ring_pro
386,2025-01-10,regular,Sweden,Android,Ring_v2
387,2025-01-24,casual,Finland,iOS,Ring_pro
388,2025-01-04,casual,Sweden,iOS,Ring_v1
389,2025-01-30,regular,Germany,iOS,Ring_v1
390,2025-01-14,regular,Sweden,Android,Ring_v1
391,2025-01-08,power,Finland,iOS,Ring_v1
392,2025-01-03,casual,Finland,Android,Ring_v2
393,2025-01-06,casual,Finland,Android,Ring_v2
394,2025-01-16,regular,Finland,iOS,Ring_v1
395,2025-01-11,casual,UK,Android,Ring_pro
396,2025-01-25,power,Finland,Android,Ring_pro
397,2025-01-13,power,Finland,Android,Ring_v1
398,2025-01-08,casual,Finland,Android,Ring_v1
399,2025-01-19,regular,Sweden,iOS,Ring_v1
400,2025-01-22,regular,Sweden,iOS,Ring_v1
401,2025-01-06,casual,Finland,iOS,Ring_v1
402,2025-01-06,power,Finland,iOS,Ring_v2
403,2025-01-02,regular,Finland,Android,Ring_v1
404,2025-01-23,regular,Finland,iOS,Ring_v1
405,2025-01-20,casual,Sweden,Android,Ring_pro
406,2025-01-15,power,Sweden,Android,Ring_v2
407,2025-01-26,casual,Finland,Android,Ring_pro
408,2025-01-25,casual,Finland,Android,Ring_v1
409,2025-01-18,power,UK,iOS,Ring_v1
410,2025-01-27,casual,Finland,iOS,Ring_v2
411,2025-01-07,casual,Sweden,iOS,Ring_v1
412,2025-01-04,power,Finland,iOS,Ring_v1
413,2025-01-09,power,Finland,iOS,Ring_v2
414,2025-01-02,regular,Finland,iOS,Ring_v2
415,2025-01-16,regular,Sweden,Android,Ring_v2
416,2025-01-29,casual,UK,iOS,Ring_v2
417,2025-01-02,casual,Finland,iOS,Ring_v2
418,2025-01-04,casual,Finland,Android,Ring_v1
419,2025-01-14,regular,Finland,iOS,Ring_v1
420,2025-01-29,regular,Finland,iOS,Ring_v1
421,2025-01-10,regular,Finland,Android,Ring_v1
422,2025-01-16,regular,Finland,Android,Ring_pro
423,2025-01-02,casual,Germany,Android,Ring_v2
424,2025-01-05,casual,Finland,iOS,Ring_v2
425,2025-01-30,casual,Finland,Android,Ring_v1
426,2025-01-29,regular,UK,Android,Ring_v1
427,2025-01-01,casual,Finland,iOS,Ring_v1
428,2025-01-29,power,UK,Android,Ring_v1
429,2025-01-20,casual,Finland,Android,Ring_v1
430,2025-01-27,casual,UK,iOS,Ring_v2
431,2025-01-14,casual,Sweden,iOS,Ring_v2
432,2025-01-16,regular,Germany,Android,Ring_v2
433,2025-01-15,regular,UK,Android,Ring_v2
434,2025-01-21,casual,Finland,iOS,Ring_pro
435,2025-01-05,casual,UK,Android,Ring_v1
436,2025-01-01,regular,Finland,iOS,Ring_v1
437,2025-01-10,casual,Finland,iOS,Ring_v1
438,2025-01-22,regular,Finland,iOS,Ring_v2
439,2025-01-07,regular,Sweden,Android,Ring_pro
440,2025-01-21,casual,Finland,Android,Ring_v1
441,2025-01-30,casual,Sweden,iOS,Ring_pro
442,2025-01-03,power,Sweden,iOS,Ring_pro
443,2025-01-21,casual,Germany,iOS,Ring_v1
444,2025-01-14,casual,Germany,Android,Ring_v1
445,2025-01-27,regular,Finland,Android,Ring_v2
446,2025-01-06,power,Finland,Android,Ring_pro
447,2025-01-21,power,Finland,Android,Ring_v1
448,2025-01-26,regular,Finland,Android,Ring_v2
449,2025-01-29,casual,Finland,iOS,Ring_v1
450,2025-01-21,casual,Finland,iOS,Ring_v2
451,2025-01-15,regular,Finland,iOS,Ring_v2
452,2025-01-19,regular,UK,Android,Ring_v2
453,2025-01-27,casual,Sweden,Android,Ring_pro
454,2025-01-18,power,Finland,iOS,Ring_pro
455,2025-01-01,casual,Sweden,Android,Ring_pro
456,2025-01-28,casual,Finland,iOS,Ring_v1
457,2025-01-21,casual,Finland,iOS,Ring_v2
458,2025-01-21,casual,Sweden,Android,Ring_v1
459,2025-01-07,casual,Finland,Android,Ring_v2
460,2025-01-20,casual,Finland,Android,Ring_v2
461,2025-01-12,casual,UK,iOS,Ring_v2
462,2025-01-20,regular,UK,iOS,Ring_v2
463,2025-01-04,regular,Sweden,Android,Ring_pro
464,2025-01-20,regular,Sweden,iOS,Ring_v1
465,2025-01-30,power,Sweden,iOS,Ring_v2
466,2025-01-02,casual,Finland,Android,Ring_v1
467,2025-01-30,casual,Finland,iOS,Ring_v1
468,2025-01-13,power,Finland,Android,Ring_v1
469,2025-01-27,casual,Finland,Android,Ring_pro
470,2025-01-24,power,Sweden,iOS,Ring_pro
471,2025-01-18,casual,Finland,iOS,Ring_pro
472,2025-01-23,power,UK,Android,Ring_pro
473,2025-01-27,casual,UK,Android,Ring_v1
474,2025-01-13,power,Germany,Android,Ring_v1
475,2025-01-10,regular,Sweden,Android,Ring_v2
476,2025-01-21,power,UK,Android,Ring_v2
477,2025-01-25,casual,Finland,Android,Ring_v2
478,2025-01-23,regular,Germany,iOS,Ring_v1
479,2025-01-24,power,Finland,iOS,Ring_v2
480,2025-01-14,regular,Germany,iOS,Ring_v2
481,2025-01-25,regular,Finland,iOS,Ring_v1
482,2025-01-04,regular,UK,iOS,Ring_v2
483,2025-01-17,casual,UK,iOS,Ring_v2
484,2025-01-01,regular,Finland,Android,Ring_v2
485,2025-01-10,regular,Finland,iOS,Ring_v1
486,2025-01-11,power,UK,iOS,Ring_v2
487,2025-01-12,casual,Finland,iOS,Ring_v1
488,2025-01-21,casual,UK,iOS,Ring_v1
489,2025-01-12,power,Sweden,iOS,Ring_v2
490,2025-01-14,power,Finland,iOS,Ring_v2
491,2025-01-08,casual,Finland,iOS,Ring_v1
492,2025-01-12,regular,Finland,Android,Ring_v2
493,2025-01-07,casual,Germany,Android,Ring_v2
494,2025-01-03,casual,Finland,Android,Ring_v2
495,2025-01-19,casual,Sweden,Android,Ring_v2
496,2025-01-21,casual,Finland,iOS,Ring_v2
497,2025-01-19,regular,Sweden,Android,Ring_v2
498,2025-01-14,casual,UK,Android,Ring_v1
499,2025-01-12,power,UK,iOS,Ring_v1
500,2025-01-26,power,Finland,Android,Ring_v2
501,2025-01-16,regular,Germany,iOS,Ring_v2
502,2025-01-15,regular,Germany,Android,Ring_v2
503,2025-01-01,casual,Sweden,Android,Ring_v1
504,2025-01-11,regular,UK,iOS,Ring_v1
505,2025-01-12,regular,Finland,Android,Ring_v2
506,2025-01-12,casual,Finland,Android,Ring_v1
507,2025-01-18,power,UK,Android,Ring_v2
508,2025-01-17,regular,Finland,iOS,Ring_v1
509,2025-01-19,power,Germany,Android,Ring_v2
510,2025-01-23,regular,UK,iOS,Ring_pro
511,2025-01-25,regular,Finland,iOS,Ring_v1
512,2025-01-22,casual,UK,iOS,Ring_v2
513,2025-01-29,power,Finland,Android,Ring_v1
514,2025-01-01,power,Sweden,Android,Ring_v2
515,2025-01-06,casual,Sweden,Android,Ring_v2
516,2025-01-01,casual,UK,Android,Ring_v2
517,2025-01-20,casual,Finland,iOS,Ring_v2
518,2025-01-27,regular,Finland,iOS,Ring_pro
519,2025-01-08,power,Sweden,iOS,Ring_v1
520,2025-01-28,casual,Germany,iOS,Ring_v1
521,2025-01-02,regular,Sweden,iOS,Ring_pro
522,2025-01-29,casual,Finland,iOS,Ring_v2
523,2025-01-11,power,Finland,iOS,Ring_pro
524,2025-01-04,regular,Finland,iOS,Ring_v2
525,2025-01-15,regular,Germany,iOS,Ring_pro
526,2025-01-08,casual,Finland,iOS,Ring_v2
527,2025-01-09,casual,Finland,Android,Ring_v2
