metric_id,user_id,metric_date,sleep_score,activity_score,readiness_score
135,2,2025-03-30,89.17,92.11,83.3
136,2,2025-03-31,86.63,91.97,84.41
137,2,2025-04-01,79.77,86.5,77.32
138,2,2025-04-02,85.88,79.51,80.36
139,2,2025-04-03,83.88,86.07,83.28
140,2,2025-04-06,91.27,90.38,78.1
141,2,2025-04-09,83.58,81.31,89.29
142,2,2025-04-12,87.54,78.98,81.07
143,2,2025-04-13,76.3,96.69,77.73
144,2,2025-04-14,78.18,81.3,86.91
145,2,2025-04-16,84.93,91.76,87.98
146,2,2025-04-17,87.56,77.68,76.89
147,2,2025-04-19,78.02,68.37,96.2
148,2,2025-04-20,89.66,78.12,84.68
149,2,2025-04-21,79.96,88.79,89.98
150,2,2025-04-22,76.96,77.19,76.63
151,2,2025-04-24,85.55,89.89,81.34
152,2,2025-04-26,81.6,81.89,85.78
153,2,2025-04-28,82.93,78.37,85.35
154,2,2025-04-29,70.92,76.72,84.6
155,2,2025-05-02,92.08,74.01,95.75
156,2,2025-05-03,88.09,78.5,86.63
157,2,2025-05-04,80.92,76.07,76.99
158,2,2025-05-05,92.1,79.67,99.79
159,2,2025-05-11,82.44,86.29,79.56
160,2,2025-05-14,89.21,81.34,90.98
161,2,2025-05-15,89.6,79.78,74.48
162,2,2025-05-16,83.53,96.74,95.27
163,3,2025-01-28,87.43,80.66,65.51
164,3,2025-01-29,76.75,83.51,60.98
165,3,2025-01-31,61.64,87.11,65.91
166,3,2025-02-01,69.7,71.79,51.95
167,3,2025-02-02,71.44,84.48,78.03
168,3,2025-02-04,72.25,67.17,60.63
169,3,2025-02-06,74.17,79.87,66.79
170,3,2025-02-07,85.11,69.36,82.1
171,3,2025-02-08,76.63,82.58,88.05
172,3,2025-02-09,78.67,75.04,66.46
173,3,2025-02-10,73.63,90.21,78.65
174,3,2025-02-11,65.96,92.22,64.65
175,3,2025-02-12,72.23,71.85,72.52
176,3,2025-02-14,62.91,68.19,64.54
177,3,2025-02-15,79.93,76.54,81.56
178,3,2025-02-16,76.59,81.52,98.25
179,3,2025-02-17,75.11,71.59,83.99
180,3,2025-02-18,77.84,90.35,83.81
181,3,2025-02-19,77.8,56.9,79.37
182,3,2025-02-20,72.73,71.4,78.62
183,3,2025-02-22,74.97,71.6,74.97
184,3,2025-02-23,69.81,62.58,77.33
185,3,2025-02-24,71.22,79.87,72.26
186,3,2025-02-25,54.98,81.06,71.91
187,3,2025-02-26,75.76,70.07,67.75
188,3,2025-02-27,78.28,76.75,84.05
189,3,2025-02-28,90.84,76.57,80.71
190,3,2025-03-01,75.5,56.38,82.3
191,3,2025-03-02,67.77,77.55,79.72
192,3,2025-03-03,79.99,67.14,72.94
193,3,2025-03-04,62.28,58.4,48.29
194,3,2025-03-05,67.09,62.88,64.17
195,3,2025-03-06,92.57,83.26,76.59
196,3,2025-03-07,72.55,69.61,88.53
197,3,2025-03-08,73.63,84.45,68.94
198,3,2025-03-09,79.07,65.53,80.35
199,3,2025-03-11,60.92,85.46,67.11
200,3,2025-03-12,75.08,74.91,65.3
201,3,2025-03-13,73.04,50.61,78.81
202,3,2025-03-15,84.63,80.01,79.73
203,3,2025-03-16,73.95,61.35,77.72
204,3,2025-03-18,77.61,65.14,68.69
205,3,2025-03-19,73.59,65.18,78.41
206,3,2025-03-20,86.92,69.59,87.88
207,3,2025-03-21,78.88,83.92,70.42
208,3,2025-03-22,55.25,73.01,89.98
209,3,2025-03-23,69.11,73.84,70.09
210,3,2025-03-27,68.56,60.69,71.52
211,3,2025-03-28,76.0,68.41,69.55
212,3,2025-03-29,77.86,73.16,79.51
213,3,2025-03-31,75.26,50.82,70.71
214,3,2025-04-01,70.2,54.15,77.1
215,3,2025-04-02,80.68,65.75,57.12
216,3,2025-04-03,68.14,62.58,66.23
217,3,2025-04-04,80.7,96.88,70.27
218,3,2025-04-07,66.69,65.2,88.78
219,3,2025-04-08,70.05,72.61,78.71
220,3,2025-04-11,68.82,69.07,80.58
221,3,2025-04-12,75.45,75.09,61.48
222,3,2025-04-13,70.61,80.93,57.74
223,3,2025-04-14,68.18,76.76,67.17
224,3,2025-04-17,69.83,79.34,76.33
225,3,2025-04-18,80.14,63.9,95.09
226,3,2025-04-20,64.73,73.52,61.05
227,3,2025-04-21,78.84,65.98,67.99
228,3,2025-04-23,73.69,62.08,71.91
229,3,2025-04-24,60.93,82.03,68.46
230,3,2025-04-25,76.09,80.38,55.74
231,3,2025-04-26,71.18,68.41,68.98
232,3,2025-04-27,78.7,76.54,66.26
233,3,2025-04-28,74.53,71.16,70.87
234,3,2025-04-29,85.48,66.51,62.35
235,3,2025-04-30,94.6,62.11,88.97
236,3,2025-05-03,71.86,78.29,91.05
237,3,2025-05-04,70.83,60.78,82.07
238,3,2025-05-05,81.56,55.38,74.3
239,3,2025-05-06,71.31,77.35,72.11
240,3,2025-05-07,81.36,76.43,74.26
241,3,2025-05-08,65.61,79.18,61.42
242,3,2025-05-10,77.45,75.34,54.38
243,3,2025-05-11,78.53,68.79,80.47
244,3,2025-05-13,77.75,87.61,75.73
245,3,2025-05-14,70.64,86.03,82.64
246,3,2025-05-15,75.52,77.41,72.53
247,3,2025-05-16,72.56,78.14,75.66
248,3,2025-05-20,54.86,78.46,76.89
249,3,2025-05-22,71.3,78.41,76.03
250,3,2025-05-24,55.24,82.63,73.01
251,3,2025-05-25,74.36,69.27,83.66
252,4,2025-01-25,82.71,70.6,71.97
253,4,2025-01-26,68.43,74.0,67.25
254,4,2025-01-27,79.07,67.5,91.51
255,4,2025-01-29,70.55,68.53,73.99
256,4,2025-02-03,65.25,78.79,66.3
257,4,2025-02-05,73.68,65.94,67.96
258,4,2025-02-06,91.5,68.35,78.48
259,4,2025-02-07,67.76,73.52,67.03
260,4,2025-02-08,89.86,78.8,67.88
261,4,2025-02-10,65.12,75.68,65.71
262,4,2025-02-12,76.98,70.58,73.04
263,4,2025-02-13,76.74,46.66,70.92
264,4,2025-02-14,77.46,67.81,82.41
265,4,2025-02-15,73.49,66.89,77.88
266,4,2025-02-16,68.26,57.06,79.41
267,4,2025-02-17,69.66,86.25,87.7
268,4,2025-02-18,82.2,78.34,68.56
269,4,2025-02-19,61.19,73.35,77.83
270,4,2025-02-20,84.68,74.65,64.89
271,4,2025-02-21,81.18,79.18,90.25
272,4,2025-02-22,84.63,71.86,67.4
273,4,2025-02-23,57.23,68.51,82.01
274,4,2025-02-24,71.4,72.06,79.97
275,4,2025-03-03,76.46,74.34,71.41
276,4,2025-03-04,84.4,51.22,74.25
277,4,2025-03-06,78.04,77.01,69.8
278,4,2025-03-07,74.04,74.61,64.55
279,4,2025-03-10,79.61,81.51,74.86
280,4,2025-03-11,80.39,66.66,69.27
281,4,2025-03-13,84.45,73.18,83.54
282,4,2025-03-15,85.36,73.99,68.63
283,4,2025-03-16,74.92,69.89,78.92
284,4,2025-03-17,72.81,74.47,87.16
285,4,2025-03-18,71.74,45.04,79.59
286,4,2025-03-22,79.68,81.03,68.91
287,4,2025-03-23,75.05,71.67,75.08
288,4,2025-03-25,68.09,83.22,70.55
289,4,2025-03-26,76.01,69.69,75.32
290,4,2025-03-27,67.88,76.7,74.87
291,4,2025-03-29,62.57,71.8,76.29
292,4,2025-03-30,75.13,76.22,64.97
293,4,2025-03-31,93.81,86.98,86.92
294,4,2025-04-01,75.96,62.6,69.37
295,4,2025-04-02,77.65,85.52,80.09
296,4,2025-04-03,76.18,73.47,76.36
297,4,2025-04-04,69.83,83.04,54.82
298,4,2025-04-05,74.03,85.16,83.59
299,4,2025-04-07,69.0,69.41,76.09
300,4,2025-04-10,68.67,74.58,74.42
301,4,2025-04-11,94.34,74.27,71.94
302,4,2025-04-14,75.91,81.16,84.29
303,4,2025-04-15,72.09,73.32,55.37
304,4,2025-04-16,66.37,72.33,69.55
305,4,2025-04-17,72.65,77.06,69.82
306,4,2025-04-18,83.48,73.03,84.09
307,4,2025-04-20,96.09,63.52,79.05
308,4,2025-04-22,79.59,84.88,59.89
309,4,2025-04-23,76.26,68.82,70.39
310,4,2025-04-24,70.74,60.44,72.38
311,4,2025-04-26,69.26,66.71,71.26
312,4,2025-04-27,71.07,75.31,52.55
313,4,2025-04-28,79.78,68.86,81.06
314,4,2025-04-29,70.8,82.12,81.18
315,4,2025-05-01,70.69,72.19,79.25
316,4,2025-05-02,70.82,76.35,76.89
317,4,2025-05-03,81.16,90.22,70.94
318,4,2025-05-04,54.27,48.97,75.24
319,4,2025-05-05,78.01,62.98,61.08
320,4,2025-05-06,78.2,63.18,78.15
321,4,2025-05-07,70.94,87.16,88.65
322,4,2025-05-08,72.82,81.69,69.4
323,4,2025-05-11,77.52,67.06,62.68
324,4,2025-05-14,73.49,57.99,85.11
325,4,2025-05-15,92.91,75.01,63.62
326,4,2025-05-16,70.08,67.53,75.3
327,4,2025-05-18,68.65,57.14,80.85
328,4,2025-05-19,76.15,94.08,57.62
329,4,2025-05-20,75.98,70.31,74.43
330,5,2025-01-26,58.04,55.95,55.11
331,5,2025-01-27,59.52,42.53,41.01
332,5,2025-01-29,51.22,46.32,51.64
333,5,2025-01-31,56.06,60.15,66.16
334,5,2025-02-02,66.58,53.35,62.37
335,5,2025-02-03,55.58,47.28,34.57
336,5,2025-02-04,60.52,83.93,51.97
337,5,2025-02-05,66.25,35.79,81.4
338,5,2025-02-07,72.54,35.48,39.89
339,5,2025-02-08,59.44,64.53,49.93
340,5,2025-02-09,56.54,58.72,55.15
341,5,2025-02-10,62.28,64.97,76.17
342,5,2025-02-13,65.38,62.06,47.8
343,5,2025-02-15,67.08,75.99,62.33
344,5,2025-02-16,67.83,74.73,59.9
345,5,2025-02-17,77.35,68.59,62.94
346,5,2025-02-18,61.03,88.01,77.45
347,5,2025-02-19,85.24,48.19,52.68
348,5,2025-02-20,90.69,41.36,54.22
349,5,2025-02-21,54.51,62.36,72.54
350,5,2025-02-22,79.19,47.36,55.66
351,5,2025-02-23,68.77,54.2,67.25
352,5,2025-02-24,54.78,46.25,45.49
353,5,2025-02-25,68.19,47.41,45.64
354,5,2025-02-26,67.38,60.28,53.28
355,5,2025-02-28,75.27,93.98,42.07
356,5,2025-03-03,60.47,43.15,47.99
357,5,2025-03-04,72.21,69.8,56.48
358,5,2025-03-05,92.83,64.87,72.82
359,5,2025-03-06,73.08,60.14,60.72
360,5,2025-03-10,88.98,66.46,63.19
361,5,2025-03-11,27.34,56.84,51.55
362,5,2025-03-12,75.73,52.32,72.69
363,5,2025-03-13,62.18,82.39,51.45
364,5,2025-03-14,57.95,76.87,52.07
365,5,2025-03-15,67.14,49.76,51.57
366,5,2025-03-16,62.86,47.68,61.79
367,5,2025-03-17,64.43,61.87,69.07
368,5,2025-03-18,56.62,64.48,65.23
369,5,2025-03-19,54.31,50.1,59.54
370,5,2025-03-20,54.5,47.89,61.68
371,5,2025-03-21,68.71,42.05,40.96
372,5,2025-03-22,70.89,71.05,74.76
373,5,2025-03-23,48.12,59.56,46.82
374,5,2025-03-24,50.97,54.5,67.85
375,5,2025-03-26,73.29,50.0,63.81
376,5,2025-03-29,75.12,45.22,63.96
377,5,2025-03-30,72.03,55.13,48.29
378,5,2025-03-31,66.36,72.1,60.46
379,5,2025-04-02,63.61,31.79,66.78
380,5,2025-04-03,83.19,68.06,70.32
381,5,2025-04-05,62.31,85.2,76.52
382,5,2025-04-07,57.72,69.5,44.35
383,5,2025-04-08,88.09,36.26,87.98
384,5,2025-04-10,59.43,62.35,52.18
385,5,2025-04-11,77.84,91.1,79.81
386,5,2025-04-12,62.95,47.89,64.9
387,5,2025-04-13,67.87,57.06,73.69
388,5,2025-04-14,72.11,47.59,66.25
389,5,2025-04-16,68.1,52.6,62.51
390,5,2025-04-17,71.84,51.74,77.12
391,5,2025-04-18,51.31,71.37,83.59
392,5,2025-04-19,71.03,69.75,51.19
393,5,2025-04-22,59.57,64.48,79.22
394,5,2025-04-23,92.97,64.58,65.9
395,5,2025-04-24,80.57,59.9,83.53
396,5,2025-04-26,52.63,53.88,61.73
397,5,2025-04-27,83.3,45.48,48.09
398,5,2025-04-28,86.81,88.34,65.59
399,5,2025-04-29,59.82,45.52,44.18
400,5,2025-04-30,64.11,71.92,66.97
401,5,2025-05-03,47.52,68.8,53.54
402,5,2025-05-04,67.06,47.43,72.19
403,5,2025-05-05,77.8,44.0,58.27
404,5,2025-05-07,40.75,51.08,85.79
405,5,2025-05-08,39.25,56.06,69.33
406,5,2025-05-10,58.25,53.47,86.73
407,5,2025-05-11,44.64,51.18,60.0
408,5,2025-05-12,60.77,82.67,51.54
409,5,2025-05-13,63.34,47.47,73.81
410,5,2025-05-14,71.47,66.89,67.05
411,5,2025-05-15,61.53,62.94,56.59
412,5,2025-05-16,73.36,65.79,49.2
413,5,2025-05-17,48.36,63.13,71.47
414,5,2025-05-18,59.17,65.55,63.44
415,5,2025-05-19,54.35,47.6,41.75
416,5,2025-05-20,66.55,76.01,74.57
417,5,2025-05-21,56.83,78.54,59.03
418,5,2025-05-22,71.34,62.61,57.06
419,5,2025-05-23,51.4,91.62,69.33
420,5,2025-05-24,63.23,65.42,67.01
421,6,2025-01-20,66.55,66.12,81.99
422,6,2025-01-21,56.15,48.67,74.77
423,6,2025-01-23,58.74,26.37,82.9
424,6,2025-01-24,73.94,46.71,66.31
425,6,2025-01-25,82.06,70.52,65.85
426,6,2025-01-28,61.7,60.0,73.12
427,6,2025-01-30,65.57,75.45,53.86
428,6,2025-02-01,58.28,60.93,61.72
429,6,2025-02-03,75.59,48.07,62.65
430,6,2025-02-05,76.15,52.45,53.91
431,6,2025-02-06,77.93,47.24,77.32
432,6,2025-02-07,58.07,38.61,42.53
433,6,2025-02-09,65.96,48.66,62.22
434,6,2025-02-10,76.81,39.49,79.95
435,6,2025-02-11,60.48,45.13,51.57
436,6,2025-02-13,82.37,20.77,57.93
437,6,2025-02-14,65.23,57.38,36.18
438,6,2025-02-15,76.39,54.15,60.86
439,6,2025-02-16,42.98,42.81,77.16
440,6,2025-02-17,68.14,69.47,64.31
441,6,2025-02-19,69.01,74.14,48.23
442,6,2025-02-20,78.11,51.48,40.37
443,6,2025-02-21,58.23,43.63,32.35
444,6,2025-02-23,63.55,48.05,83.14
445,6,2025-02-25,60.13,41.84,53.92
446,6,2025-02-26,74.51,51.89,35.56
447,6,2025-02-28,69.02,74.3,50.25
448,6,2025-03-01,68.36,33.76,61.81
449,6,2025-03-02,64.63,75.14,55.39
450,6,2025-03-03,76.92,88.03,58.74
451,6,2025-03-04,56.53,91.44,73.52
452,6,2025-03-05,74.26,54.95,60.98
453,6,2025-03-06,54.33,46.02,54.26
454,6,2025-03-07,63.68,82.43,49.76
455,6,2025-03-08,65.99,58.77,71.28
456,6,2025-03-09,64.13,32.12,59.95
457,6,2025-03-10,67.35,63.5,56.97
458,6,2025-03-11,64.81,63.65,47.63
459,6,2025-03-12,52.51,62.18,70.96
460,6,2025-03-13,66.09,85.59,50.56
461,6,2025-03-14,67.23,66.36,58.6
462,6,2025-03-15,83.83,63.66,60.27
463,6,2025-03-16,66.06,48.93,52.82
464,6,2025-03-20,62.43,68.96,69.31
465,6,2025-03-22,79.3,75.0,51.35
466,6,2025-03-23,50.12,69.84,60.27
467,6,2025-03-24,65.68,73.42,51.68
468,6,2025-03-27,51.04,71.31,71.68
469,6,2025-03-28,65.94,59.28,52.99
470,6,2025-03-29,60.68,59.96,36.52
471,6,2025-03-30,76.39,62.46,57.5
472,6,2025-03-31,51.43,59.74,64.15
473,6,2025-04-01,70.63,66.86,63.85
474,6,2025-04-03,42.82,69.79,77.24
475,6,2025-04-04,56.87,46.99,61.2
476,6,2025-04-05,67.88,68.99,52.74
477,6,2025-04-09,69.64,67.42,72.89
478,6,2025-04-11,72.23,63.87,67.48
479,6,2025-04-12,97.67,42.55,63.07
480,6,2025-04-13,86.77,58.71,73.85
481,6,2025-04-14,56.0,31.27,65.14
482,6,2025-04-15,52.13,92.98,96.81
483,6,2025-04-16,77.98,71.8,41.24
484,6,2025-04-17,64.67,100.0,62.76
485,6,2025-04-19,62.38,48.92,50.86
486,6,2025-04-20,70.07,33.71,54.29
487,6,2025-04-21,65.26,56.59,83.7
488,6,2025-04-22,75.84,23.61,46.83
489,6,2025-04-23,69.19,63.6,87.71
490,6,2025-04-24,56.97,64.12,80.25
491,6,2025-04-25,65.26,57.22,73.92
492,6,2025-04-29,66.94,57.03,70.54
493,6,2025-04-30,53.73,58.88,58.14
494,6,2025-05-03,70.84,77.86,52.43
495,6,2025-05-04,71.14,48.75,81.8
496,6,2025-05-07,72.16,49.56,52.41
497,6,2025-05-08,66.74,61.89,65.72
498,6,2025-05-09,70.32,58.25,52.97
499,6,2025-05-10,66.83,59.18,73.88
500,6,2025-05-11,63.53,60.17,55.1
501,6,2025-05-12,53.87,60.01,75.84
502,6,2025-05-13,74.96,66.36,85.61
503,6,2025-05-14,60.78,62.74,43.63
504,6,2025-05-15,60.32,98.43,65.24
505,6,2025-05-16,48.07,61.24,40.51
506,6,2025-05-17,81.82,68.26,64.31
507,6,2025-05-18,61.09,44.67,95.91
508,6,2025-05-19,75.79,99.49,59.46
509,7,2025-01-22,67.36,74.52,53.31
510,7,2025-01-23,56.41,61.58,56.75
511,7,2025-01-24,40.12,42.62,56.06
512,7,2025-01-25,63.27,39.81,69.8
513,7,2025-01-26,61.56,40.43,61.18
514,7,2025-01-27,65.41,48.16,49.97
515,7,2025-01-28,67.24,72.78,75.45
516,7,2025-01-30,75.89,41.38,51.29
517,7,2025-01-31,34.46,59.47,52.33
518,7,2025-02-01,58.85,68.82,43.51
519,7,2025-02-02,55.32,90.92,50.53
520,7,2025-02-04,59.99,77.23,85.23
521,7,2025-02-06,62.99,51.4,82.04
522,7,2025-02-07,57.18,15.77,56.73
523,7,2025-02-10,68.57,84.66,47.83
524,7,2025-02-11,85.51,39.32,57.74
525,7,2025-02-12,66.39,52.91,58.68
526,7,2025-02-13,63.79,71.56,29.98
527,7,2025-02-15,77.92,58.49,61.59
528,7,2025-02-16,75.54,37.18,81.57
529,7,2025-02-17,61.63,55.25,62.09
530,7,2025-02-20,55.55,52.75,65.25
531,7,2025-02-21,67.47,29.76,89.87
532,7,2025-02-23,73.68,56.65,69.59
533,7,2025-02-26,73.42,100.0,64.72
534,7,2025-02-27,58.33,43.69,54.52
535,7,2025-02-28,50.94,40.17,65.93
536,7,2025-03-02,47.49,40.73,62.08
537,7,2025-03-03,78.18,71.66,68.65
538,7,2025-03-04,59.07,40.33,83.95
539,7,2025-03-05,56.45,90.63,45.19
540,7,2025-03-06,62.4,52.41,62.53
541,7,2025-03-07,57.87,42.5,54.69
542,7,2025-03-08,74.11,63.61,67.98
543,7,2025-03-10,50.34,59.34,53.75
544,7,2025-03-11,49.57,55.93,57.26
545,7,2025-03-13,65.23,48.34,65.9
546,7,2025-03-14,75.12,69.12,76.21
547,7,2025-03-15,63.03,48.64,53.39
548,7,2025-03-16,61.32,34.21,60.96
549,7,2025-03-17,69.23,89.66,53.62
550,7,2025-03-19,51.04,62.96,66.4
551,7,2025-03-20,87.89,69.47,79.41
552,7,2025-03-21,76.58,69.23,61.24
553,7,2025-03-22,77.77,57.14,71.21
554,7,2025-03-23,51.76,48.16,70.74
555,7,2025-03-24,68.52,51.12,61.89
556,7,2025-03-26,87.53,49.66,55.28
557,7,2025-03-28,86.11,68.94,68.72
558,7,2025-03-31,69.02,61.83,77.65
559,7,2025-04-02,61.05,92.78,46.54
560,7,2025-04-04,71.87,92.51,46.63
561,7,2025-04-05,57.77,58.05,82.12
562,7,2025-04-06,60.34,60.04,57.19
563,7,2025-04-08,58.0,56.42,56.87
564,7,2025-04-09,66.86,81.15,67.5
565,7,2025-04-10,62.81,54.09,53.87
566,7,2025-04-12,61.32,41.41,52.18
567,7,2025-04-13,81.73,91.8,71.81
568,7,2025-04-15,76.28,27.73,93.48
569,7,2025-04-17,70.76,50.86,71.68
570,7,2025-04-18,67.2,53.42,78.32
571,7,2025-04-19,75.69,66.5,52.49
572,7,2025-04-22,67.42,58.92,66.51
573,7,2025-04-23,76.32,54.28,62.64
574,7,2025-04-24,68.27,64.98,60.53
575,7,2025-04-27,59.58,74.66,67.21
576,7,2025-04-28,59.99,63.51,57.58
577,7,2025-04-30,60.84,44.68,55.84
578,7,2025-05-01,65.15,73.02,60.1
579,7,2025-05-02,82.18,71.36,46.04
580,7,2025-05-03,66.1,79.57,54.81
581,7,2025-05-04,54.76,51.21,54.67
582,7,2025-05-06,60.26,43.89,39.22
583,7,2025-05-07,60.19,68.65,63.25
584,7,2025-05-09,59.67,48.28,69.23
585,7,2025-05-10,75.74,74.5,79.32
586,7,2025-05-11,70.3,52.48,51.97
587,7,2025-05-12,48.8,71.73,78.25
588,7,2025-05-14,65.37,67.29,69.87
589,7,2025-05-16,63.87,52.4,56.52
590,7,2025-05-17,66.12,75.9,65.37
591,7,2025-05-18,73.57,52.42,39.6
592,7,2025-05-19,71.08,39.44,77.68
593,7,2025-05-20,73.68,78.93,68.83
594,8,2025-01-26,83.21,87.21,86.24
595,8,2025-01-27,90.25,84.53,80.69
596,8,2025-01-28,85.37,90.46,75.15
597,8,2025-02-02,87.04,83.18,88.7
598,8,2025-02-04,77.26,91.24,88.17
599,8,2025-02-05,87.97,85.03,80.69
600,8,2025-02-06,82.75,77.45,86.3
601,8,2025-02-08,86.34,76.67,85.93
602,8,2025-02-09,86.46,69.96,73.45
603,8,2025-02-12,86.39,77.51,75.85
604,8,2025-02-13,82.88,86.24,89.36
605,8,2025-02-16,91.62,78.59,83.43
606,8,2025-02-17,82.11,66.97,82.6
