feature_event_id,user_id,feature_name,usage_timestamp,usage_duration,feature_version
35,2,premium_deep_insight,2025-01-24 12:25:00,64,v1
36,2,sleep_analysis,2025-01-24 12:39:00,45,v2
37,2,readiness_insight,2025-01-24 12:36:00,163,v1
38,2,activity_trend,2025-01-25 11:05:00,274,v1
39,2,readiness_insight,2025-01-25 11:11:00,219,v2
40,2,recovery_report,2025-01-25 18:25:00,160,v1
41,2,recovery_report,2025-01-26 02:36:00,50,v1
42,2,recovery_report,2025-01-30 04:06:00,53,v2
43,2,premium_deep_insight,2025-01-31 08:19:00,31,v2
44,2,activity_trend,2025-02-01 02:37:00,132,v1
45,2,activity_trend,2025-02-01 02:46:00,66,v1
46,2,sleep_analysis,2025-02-03 00:28:00,192,v1
47,2,sleep_analysis,2025-02-03 00:28:00,289,v2
48,2,recovery_report,2025-02-03 09:14:00,64,v1
49,2,premium_deep_insight,2025-02-03 09:16:00,208,v2
50,2,readiness_insight,2025-02-04 00:26:00,109,v1
51,2,premium_deep_insight,2025-02-04 00:30:00,30,v2
52,2,recovery_report,2025-02-04 20:27:00,40,v1
53,2,recovery_report,2025-02-04 20:38:00,213,v1
54,2,activity_trend,2025-02-05 14:13:00,76,v1
55,2,sleep_analysis,2025-02-06 04:09:00,279,v1
56,2,recovery_report,2025-02-06 03:54:00,221,v2
57,2,premium_deep_insight,2025-02-06 04:44:00,202,v2
58,2,sleep_analysis,2025-02-08 03:22:00,190,v1
59,2,recovery_report,2025-02-08 03:12:00,127,v2
60,2,sleep_analysis,2025-02-09 11:26:00,225,v1
61,2,readiness_insight,2025-02-09 09:55:00,45,v2
62,2,activity_trend,2025-02-10 04:32:00,253,v2
63,2,sleep_analysis,2025-02-10 04:32:00,30,v2
64,2,sleep_analysis,2025-02-11 05:10:00,155,v2
65,2,premium_deep_insight,2025-02-11 05:16:00,208,v1
66,2,recovery_report,2025-02-14 06:06:00,107,v2
67,2,premium_deep_insight,2025-02-14 20:37:00,204,v1
68,2,recovery_report,2025-02-15 05:04:00,106,v2
69,2,premium_deep_insight,2025-02-16 20:12:00,30,v2
70,2,activity_trend,2025-02-16 20:14:00,176,v1
71,2,sleep_analysis,2025-02-16 07:49:00,12,v1
72,2,activity_trend,2025-02-17 19:50:00,191,v2
73,2,activity_trend,2025-02-17 19:39:00,55,v1
74,2,readiness_insight,2025-02-17 02:07:00,149,v2
75,2,recovery_report,2025-02-17 02:13:00,181,v1
76,2,premium_deep_insight,2025-02-18 15:29:00,178,v1
77,2,activity_trend,2025-02-18 02:56:00,63,v1
78,2,activity_trend,2025-02-19 16:22:00,299,v2
79,2,activity_trend,2025-02-19 16:29:00,264,v1
80,2,activity_trend,2025-02-21 10:35:00,268,v1
81,2,premium_deep_insight,2025-02-21 05:11:00,284,v1
82,2,readiness_insight,2025-02-22 22:37:00,179,v1
83,2,premium_deep_insight,2025-02-22 22:33:00,287,v2
84,2,activity_trend,2025-02-25 05:43:00,78,v1
85,2,premium_deep_insight,2025-02-25 05:43:00,239,v2
86,2,readiness_insight,2025-02-26 09:22:00,201,v1
87,2,readiness_insight,2025-02-27 23:12:00,188,v1
88,2,activity_trend,2025-02-27 01:08:00,141,v1
89,2,premium_deep_insight,2025-02-28 09:18:00,108,v1
90,2,premium_deep_insight,2025-03-01 15:31:00,241,v1
91,2,recovery_report,2025-03-02 23:01:00,87,v2
92,2,sleep_analysis,2025-03-03 06:36:00,19,v2
93,2,recovery_report,2025-03-04 14:43:00,82,v2
94,2,activity_trend,2025-03-04 14:53:00,19,v2
95,2,premium_deep_insight,2025-03-06 07:06:00,29,v2
96,2,activity_trend,2025-03-08 04:08:00,291,v2
97,2,recovery_report,2025-03-08 04:06:00,18,v1
98,2,premium_deep_insight,2025-03-09 23:07:00,205,v2
99,2,recovery_report,2025-03-09 23:00:00,36,v2
100,2,readiness_insight,2025-03-09 14:09:00,128,v2
101,2,recovery_report,2025-03-09 14:02:00,119,v2
102,2,premium_deep_insight,2025-03-10 14:22:00,294,v1
103,2,premium_deep_insight,2025-03-10 14:29:00,191,v2
104,2,activity_trend,2025-03-10 10:10:00,96,v1
105,2,activity_trend,2025-03-13 14:20:00,241,v1
106,2,recovery_report,2025-03-14 16:50:00,265,v1
107,2,sleep_analysis,2025-03-16 10:08:00,70,v1
108,2,readiness_insight,2025-03-16 22:02:00,159,v2
109,2,readiness_insight,2025-03-17 13:02:00,137,v1
110,2,recovery_report,2025-03-17 12:55:00,140,v2
111,2,activity_trend,2025-03-17 10:54:00,251,v1
112,2,activity_trend,2025-03-19 09:30:00,141,v2
113,2,activity_trend,2025-03-19 09:17:00,21,v2
114,2,premium_deep_insight,2025-03-19 16:45:00,60,v2
115,2,activity_trend,2025-03-21 00:01:00,46,v1
116,2,activity_trend,2025-03-21 13:26:00,262,v2
117,2,readiness_insight,2025-03-21 13:24:00,224,v2
118,2,premium_deep_insight,2025-03-21 21:08:00,68,v2
119,2,premium_deep_insight,2025-03-23 23:20:00,141,v1
120,2,premium_deep_insight,2025-03-24 12:16:00,245,v2
121,2,activity_trend,2025-03-25 07:32:00,151,v2
122,2,activity_trend,2025-03-26 12:25:00,188,v2
123,2,sleep_analysis,2025-03-26 12:28:00,53,v2
124,2,readiness_insight,2025-03-26 23:25:00,278,v2
125,2,activity_trend,2025-03-26 23:31:00,265,v1
126,2,readiness_insight,2025-03-29 19:58:00,83,v1
127,2,recovery_report,2025-03-29 19:55:00,294,v2
128,2,readiness_insight,2025-03-29 10:59:00,96,v1
129,2,activity_trend,2025-03-30 21:31:00,220,v2
130,2,recovery_report,2025-03-30 21:39:00,55,v2
131,2,readiness_insight,2025-04-01 08:36:00,77,v1
132,2,readiness_insight,2025-04-01 12:35:00,139,v1
133,2,sleep_analysis,2025-04-01 12:38:00,134,v2
134,2,activity_trend,2025-04-02 06:49:00,259,v1
135,2,readiness_insight,2025-04-02 06:52:00,220,v1
136,2,premium_deep_insight,2025-04-03 02:08:00,59,v2
137,2,readiness_insight,2025-04-03 02:12:00,242,v2
138,2,readiness_insight,2025-04-04 03:19:00,199,v1
139,2,readiness_insight,2025-04-04 03:21:00,284,v1
140,2,readiness_insight,2025-04-06 07:06:00,273,v2
141,2,sleep_analysis,2025-04-08 18:31:00,219,v2
142,2,premium_deep_insight,2025-04-08 18:20:00,249,v1
143,2,recovery_report,2025-04-09 19:17:00,291,v1
144,2,readiness_insight,2025-04-09 19:13:00,40,v1
145,2,activity_trend,2025-04-10 09:35:00,88,v1
146,2,premium_deep_insight,2025-04-10 09:35:00,201,v2
147,2,premium_deep_insight,2025-04-10 21:33:00,154,v2
148,2,premium_deep_insight,2025-04-10 21:37:00,168,v1
149,2,activity_trend,2025-04-11 22:47:00,290,v2
150,2,sleep_analysis,2025-04-12 12:28:00,146,v1
151,2,readiness_insight,2025-04-12 12:21:00,82,v2
152,2,readiness_insight,2025-04-12 06:44:00,189,v1
153,2,activity_trend,2025-04-12 06:44:00,177,v1
154,2,sleep_analysis,2025-04-13 11:37:00,271,v1
155,2,readiness_insight,2025-04-13 23:08:00,247,v2
156,2,activity_trend,2025-04-15 00:01:00,202,v1
157,2,activity_trend,2025-04-15 09:33:00,189,v1
158,2,activity_trend,2025-04-16 10:50:00,29,v1
159,2,activity_trend,2025-04-17 02:04:00,255,v1
160,2,recovery_report,2025-04-18 22:43:00,233,v1
161,2,premium_deep_insight,2025-04-20 19:34:00,200,v2
162,2,activity_trend,2025-04-21 13:53:00,157,v1
163,2,activity_trend,2025-04-21 13:47:00,280,v2
164,2,readiness_insight,2025-04-22 13:10:00,236,v2
165,2,activity_trend,2025-04-22 13:06:00,227,v2
166,2,recovery_report,2025-04-23 13:05:00,109,v2
167,2,sleep_analysis,2025-04-23 12:51:00,236,v1
168,2,sleep_analysis,2025-04-25 23:11:00,240,v1
169,2,readiness_insight,2025-04-26 09:51:00,192,v2
170,2,recovery_report,2025-04-27 03:13:00,291,v1
171,2,readiness_insight,2025-04-27 03:24:00,210,v1
172,2,sleep_analysis,2025-04-27 20:30:00,172,v2
173,2,premium_deep_insight,2025-04-27 20:32:00,271,v2
174,2,sleep_analysis,2025-04-28 13:09:00,289,v1
175,2,sleep_analysis,2025-04-28 13:12:00,90,v2
176,2,activity_trend,2025-04-28 12:26:00,196,v2
177,2,readiness_insight,2025-05-01 03:25:00,259,v1
178,2,activity_trend,2025-05-01 03:14:00,88,v1
179,2,premium_deep_insight,2025-05-01 19:55:00,80,v1
180,2,sleep_analysis,2025-05-01 19:43:00,19,v2
181,2,activity_trend,2025-05-03 08:25:00,82,v2
182,2,readiness_insight,2025-05-03 08:22:00,297,v1
183,2,activity_trend,2025-05-05 13:51:00,199,v2
184,2,premium_deep_insight,2025-05-06 16:57:00,111,v2
185,2,sleep_analysis,2025-05-06 18:11:00,81,v1
186,2,activity_trend,2025-05-07 00:23:00,159,v1
187,2,recovery_report,2025-05-07 00:19:00,22,v1
188,2,recovery_report,2025-05-09 12:20:00,273,v1
189,2,activity_trend,2025-05-09 02:08:00,257,v2
190,2,activity_trend,2025-05-09 02:03:00,291,v2
191,2,premium_deep_insight,2025-05-11 10:59:00,166,v1
192,2,readiness_insight,2025-05-11 10:55:00,245,v2
193,2,premium_deep_insight,2025-05-11 16:00:00,148,v2
194,2,premium_deep_insight,2025-05-12 11:07:00,28,v2
195,2,readiness_insight,2025-05-12 11:01:00,39,v2
196,2,recovery_report,2025-05-12 21:02:00,64,v1
197,2,activity_trend,2025-05-12 21:07:00,99,v2
198,2,recovery_report,2025-05-13 14:28:00,283,v1
199,2,activity_trend,2025-05-13 14:29:00,37,v1
200,2,readiness_insight,2025-05-14 23:22:00,46,v1
201,2,premium_deep_insight,2025-05-14 23:12:00,249,v1
202,2,readiness_insight,2025-05-15 04:07:00,126,v2
203,2,activity_trend,2025-05-15 06:34:00,170,v2
204,2,readiness_insight,2025-05-16 01:19:00,196,v2
205,3,premium_deep_insight,2025-01-27 03:39:00,140,v2
206,3,premium_deep_insight,2025-01-27 03:21:00,95,v1
207,3,recovery_report,2025-01-29 23:35:00,36,v1
208,3,recovery_report,2025-01-29 23:40:00,222,v1
209,3,sleep_analysis,2025-01-30 12:40:00,92,v1
210,3,sleep_analysis,2025-02-01 12:03:00,83,v1
211,3,activity_trend,2025-02-04 14:34:00,294,v2
212,3,activity_trend,2025-02-04 14:36:00,239,v1
213,3,premium_deep_insight,2025-02-04 05:10:00,127,v2
214,3,activity_trend,2025-02-04 05:19:00,264,v2
215,3,readiness_insight,2025-02-06 07:31:00,33,v1
216,3,readiness_insight,2025-02-07 04:55:00,59,v2
217,3,recovery_report,2025-02-09 06:07:00,42,v1
218,3,activity_trend,2025-02-09 06:09:00,144,v2
219,3,sleep_analysis,2025-02-11 00:16:00,82,v1
220,3,activity_trend,2025-02-11 00:29:00,281,v1
221,3,recovery_report,2025-02-11 03:29:00,266,v1
222,3,activity_trend,2025-02-13 22:59:00,204,v2
223,3,premium_deep_insight,2025-02-14 08:39:00,112,v1
224,3,recovery_report,2025-02-14 10:25:00,207,v1
225,3,activity_trend,2025-02-14 10:32:00,150,v1
226,3,premium_deep_insight,2025-02-15 20:26:00,201,v1
227,3,activity_trend,2025-02-15 20:25:00,151,v2
228,3,premium_deep_insight,2025-02-16 15:27:00,59,v1
229,3,sleep_analysis,2025-02-20 10:00:00,78,v2
230,3,readiness_insight,2025-02-21 20:49:00,187,v2
231,3,readiness_insight,2025-02-22 19:35:00,48,v2
232,3,recovery_report,2025-02-23 23:38:00,196,v2
233,3,recovery_report,2025-02-23 23:55:00,184,v1
234,3,recovery_report,2025-02-23 20:28:00,11,v2
235,3,recovery_report,2025-02-27 11:04:00,200,v2
236,3,readiness_insight,2025-02-27 10:31:00,132,v2
237,3,recovery_report,2025-03-02 01:21:00,297,v1
238,3,readiness_insight,2025-03-02 01:26:00,133,v2
239,3,readiness_insight,2025-03-05 07:25:00,256,v1
240,3,sleep_analysis,2025-03-06 12:20:00,241,v2
241,3,sleep_analysis,2025-03-06 12:10:00,246,v1
242,3,premium_deep_insight,2025-03-09 10:44:00,212,v1
243,3,sleep_analysis,2025-03-10 18:48:00,181,v2
244,3,recovery_report,2025-03-10 18:39:00,81,v2
245,3,readiness_insight,2025-03-12 15:20:00,135,v1
246,3,recovery_report,2025-03-13 15:33:00,60,v2
247,3,premium_deep_insight,2025-03-13 15:34:00,65,v2
248,3,readiness_insight,2025-03-15 07:14:00,221,v2
249,3,readiness_insight,2025-03-15 07:15:00,157,v2
250,3,readiness_insight,2025-03-17 05:25:00,284,v1
251,3,readiness_insight,2025-03-17 05:22:00,255,v1
252,3,recovery_report,2025-03-18 03:37:00,78,v1
253,3,premium_deep_insight,2025-03-18 03:39:00,127,v1
254,3,premium_deep_insight,2025-03-18 12:42:00,101,v1
255,3,sleep_analysis,2025-03-18 12:54:00,257,v1
256,3,recovery_report,2025-03-19 22:04:00,20,v1
257,3,premium_deep_insight,2025-03-19 22:10:00,68,v2
258,3,recovery_report,2025-03-23 19:59:00,223,v1
259,3,sleep_analysis,2025-03-26 06:23:00,71,v2
260,3,activity_trend,2025-03-28 19:49:00,231,v1
261,3,premium_deep_insight,2025-03-31 17:53:00,32,v2
262,3,sleep_analysis,2025-04-01 04:09:00,250,v2
263,3,premium_deep_insight,2025-04-01 04:09:00,165,v2
264,3,readiness_insight,2025-04-02 06:31:00,280,v2
265,3,activity_trend,2025-04-02 22:35:00,220,v2
266,3,sleep_analysis,2025-04-05 02:06:00,100,v2
267,3,recovery_report,2025-04-05 09:57:00,65,v1
268,3,recovery_report,2025-04-05 10:03:00,77,v1
269,3,premium_deep_insight,2025-04-06 01:37:00,63,v2
270,3,premium_deep_insight,2025-04-09 22:03:00,231,v1
271,3,sleep_analysis,2025-04-09 22:03:00,25,v2
272,3,recovery_report,2025-04-14 17:05:00,221,v1
273,3,recovery_report,2025-04-14 01:35:00,281,v2
274,3,activity_trend,2025-04-15 19:04:00,154,v1
275,3,activity_trend,2025-04-15 18:59:00,264,v2
276,3,readiness_insight,2025-04-15 06:53:00,66,v1
277,3,readiness_insight,2025-04-19 01:39:00,63,v1
278,3,recovery_report,2025-04-20 23:38:00,159,v1
279,3,sleep_analysis,2025-04-20 23:47:00,109,v1
280,3,readiness_insight,2025-04-21 16:27:00,151,v2
281,3,readiness_insight,2025-04-21 17:13:00,118,v1
282,3,activity_trend,2025-04-21 17:24:00,43,v1
283,3,premium_deep_insight,2025-04-22 08:26:00,294,v2
284,3,premium_deep_insight,2025-04-23 21:11:00,69,v2
285,3,sleep_analysis,2025-04-25 20:11:00,91,v1
286,3,recovery_report,2025-04-25 20:11:00,156,v2
287,3,readiness_insight,2025-04-26 10:59:00,219,v2
288,3,sleep_analysis,2025-04-26 10:56:00,242,v2
289,3,premium_deep_insight,2025-04-26 08:10:00,299,v2
290,3,sleep_analysis,2025-04-30 19:47:00,76,v2
291,3,sleep_analysis,2025-04-30 19:52:00,225,v2
292,3,sleep_analysis,2025-04-30 01:23:00,209,v2
293,3,readiness_insight,2025-05-01 15:22:00,110,v1
294,3,premium_deep_insight,2025-05-03 17:32:00,230,v1
295,3,premium_deep_insight,2025-05-04 04:37:00,279,v1
296,3,premium_deep_insight,2025-05-08 01:23:00,75,v2
297,3,recovery_report,2025-05-08 19:46:00,107,v1
298,3,recovery_report,2025-05-08 19:48:00,292,v2
299,3,readiness_insight,2025-05-09 06:59:00,292,v2
300,3,activity_trend,2025-05-09 07:03:00,153,v1
301,3,activity_trend,2025-05-10 00:53:00,60,v2
302,3,premium_deep_insight,2025-05-14 16:31:00,60,v1
303,3,recovery_report,2025-05-16 07:05:00,212,v1
304,3,readiness_insight,2025-05-16 07:33:00,70,v2
305,3,sleep_analysis,2025-05-16 07:36:00,92,v1
306,3,recovery_report,2025-05-17 23:19:00,84,v2
307,3,premium_deep_insight,2025-05-17 23:19:00,259,v2
308,3,activity_trend,2025-05-19 08:19:00,242,v1
309,3,readiness_insight,2025-05-20 18:56:00,193,v1
310,3,recovery_report,2025-05-20 19:03:00,284,v1
311,3,readiness_insight,2025-05-21 19:32:00,137,v2
312,3,readiness_insight,2025-05-21 19:42:00,24,v2
313,3,premium_deep_insight,2025-05-22 15:33:00,197,v2
314,3,sleep_analysis,2025-05-22 15:30:00,296,v2
315,3,recovery_report,2025-05-23 00:52:00,55,v2
316,3,readiness_insight,2025-05-23 00:59:00,39,v1
317,4,readiness_insight,2025-01-23 05:23:00,247,v2
318,4,premium_deep_insight,2025-01-23 05:27:00,142,v2
319,4,activity_trend,2025-01-25 22:03:00,270,v1
320,4,sleep_analysis,2025-01-25 21:59:00,246,v2
321,4,recovery_report,2025-01-27 22:16:00,165,v2
322,4,activity_trend,2025-01-27 22:14:00,252,v2
323,4,premium_deep_insight,2025-01-28 21:54:00,135,v1
324,4,activity_trend,2025-01-28 15:40:00,277,v1
325,4,sleep_analysis,2025-01-28 15:46:00,250,v2
326,4,activity_trend,2025-01-29 13:49:00,167,v1
327,4,sleep_analysis,2025-01-29 20:18:00,243,v2
328,4,readiness_insight,2025-01-31 22:03:00,21,v1
329,4,recovery_report,2025-02-01 06:08:00,19,v1
330,4,sleep_analysis,2025-02-01 06:08:00,283,v2
331,4,premium_deep_insight,2025-02-03 16:03:00,174,v2
332,4,readiness_insight,2025-02-03 15:50:00,281,v1
333,4,sleep_analysis,2025-02-04 16:42:00,204,v2
334,4,readiness_insight,2025-02-04 16:40:00,46,v2
335,4,activity_trend,2025-02-07 13:56:00,136,v1
336,4,sleep_analysis,2025-02-09 11:09:00,68,v2
337,4,activity_trend,2025-02-09 10:54:00,163,v1
338,4,sleep_analysis,2025-02-09 20:11:00,204,v1
339,4,sleep_analysis,2025-02-09 20:11:00,248,v1
340,4,premium_deep_insight,2025-02-11 22:18:00,242,v1
341,4,readiness_insight,2025-02-11 08:47:00,187,v1
342,4,recovery_report,2025-02-11 08:43:00,198,v2
343,4,sleep_analysis,2025-02-12 05:44:00,121,v2
344,4,premium_deep_insight,2025-02-12 05:49:00,193,v1
345,4,sleep_analysis,2025-02-14 10:26:00,223,v1
346,4,sleep_analysis,2025-02-15 23:39:00,259,v1
347,4,recovery_report,2025-02-15 23:42:00,78,v2
348,4,readiness_insight,2025-02-16 03:13:00,36,v2
349,4,sleep_analysis,2025-02-16 03:18:00,146,v2
350,4,recovery_report,2025-02-18 02:38:00,228,v2
351,4,sleep_analysis,2025-02-18 21:59:00,178,v1
352,4,premium_deep_insight,2025-02-18 21:56:00,16,v2
353,4,readiness_insight,2025-02-19 11:50:00,58,v1
354,4,readiness_insight,2025-02-20 22:35:00,249,v1
355,4,recovery_report,2025-02-20 22:35:00,138,v2
356,4,readiness_insight,2025-02-23 06:38:00,178,v1
357,4,recovery_report,2025-03-03 02:20:00,215,v2
358,4,sleep_analysis,2025-03-05 04:12:00,108,v1
359,4,readiness_insight,2025-03-05 04:26:00,100,v2
360,4,recovery_report,2025-03-09 19:59:00,11,v2
361,4,recovery_report,2025-03-09 19:47:00,175,v1
362,4,sleep_analysis,2025-03-09 05:20:00,38,v2
363,4,premium_deep_insight,2025-03-11 16:28:00,159,v2
364,4,sleep_analysis,2025-03-11 02:08:00,123,v2
365,4,activity_trend,2025-03-11 02:05:00,78,v2
366,4,sleep_analysis,2025-03-12 03:25:00,283,v1
367,4,activity_trend,2025-03-13 01:43:00,47,v2
368,4,premium_deep_insight,2025-03-14 02:34:00,173,v2
369,4,sleep_analysis,2025-03-15 05:04:00,59,v1
370,4,recovery_report,2025-03-18 21:50:00,39,v2
371,4,recovery_report,2025-03-20 06:55:00,70,v1
372,4,activity_trend,2025-03-21 15:58:00,89,v2
373,4,readiness_insight,2025-03-22 22:35:00,266,v1
374,4,activity_trend,2025-03-22 22:27:00,100,v1
375,4,premium_deep_insight,2025-03-23 14:55:00,249,v1
376,4,sleep_analysis,2025-03-23 14:58:00,293,v1
377,4,readiness_insight,2025-03-24 08:55:00,42,v1
378,4,recovery_report,2025-03-25 03:10:00,109,v2
379,4,recovery_report,2025-03-25 03:09:00,231,v2
380,4,premium_deep_insight,2025-03-29 09:55:00,58,v1
381,4,sleep_analysis,2025-03-30 15:13:00,100,v1
382,4,premium_deep_insight,2025-03-30 15:17:00,75,v1
383,4,readiness_insight,2025-03-31 21:08:00,73,v2
384,4,recovery_report,2025-03-31 05:08:00,76,v1
385,4,activity_trend,2025-03-31 05:15:00,260,v2
386,4,activity_trend,2025-04-05 23:19:00,206,v1
387,4,recovery_report,2025-04-07 20:54:00,37,v2
388,4,activity_trend,2025-04-07 18:34:00,71,v1
389,4,sleep_analysis,2025-04-14 18:03:00,34,v2
390,4,sleep_analysis,2025-04-14 18:03:00,146,v1
391,4,activity_trend,2025-04-14 03:45:00,294,v2
392,4,readiness_insight,2025-04-15 05:49:00,135,v1
393,4,activity_trend,2025-04-17 04:19:00,207,v1
394,4,premium_deep_insight,2025-04-17 04:18:00,39,v2
395,4,readiness_insight,2025-04-18 10:07:00,205,v2
396,4,recovery_report,2025-04-18 10:11:00,143,v2
397,4,premium_deep_insight,2025-04-20 00:47:00,138,v2
398,4,recovery_report,2025-04-27 21:56:00,179,v1
399,4,premium_deep_insight,2025-04-29 13:49:00,67,v2
400,4,recovery_report,2025-05-03 22:00:00,168,v2
401,4,readiness_insight,2025-05-03 21:48:00,238,v2
402,4,premium_deep_insight,2025-05-03 14:16:00,259,v2
403,4,recovery_report,2025-05-03 14:26:00,272,v2
404,4,sleep_analysis,2025-05-04 04:48:00,201,v1
405,4,activity_trend,2025-05-04 04:50:00,243,v1
406,4,activity_trend,2025-05-04 06:00:00,194,v2
407,4,premium_deep_insight,2025-05-04 05:57:00,245,v2
408,4,premium_deep_insight,2025-05-06 11:22:00,216,v1
409,4,premium_deep_insight,2025-05-06 22:37:00,36,v2
410,4,sleep_analysis,2025-05-07 03:22:00,186,v1
411,4,sleep_analysis,2025-05-10 04:00:00,13,v1
412,4,activity_trend,2025-05-10 04:12:00,190,v1
413,4,sleep_analysis,2025-05-11 22:38:00,287,v2
414,4,activity_trend,2025-05-14 20:39:00,127,v2
415,4,readiness_insight,2025-05-16 00:26:00,280,v1
416,4,premium_deep_insight,2025-05-16 00:23:00,83,v1
417,4,recovery_report,2025-05-18 02:09:00,258,v1
418,4,premium_deep_insight,2025-05-19 13:02:00,89,v1
419,4,recovery_report,2025-05-19 13:06:00,78,v2
420,4,recovery_report,2025-05-20 05:24:00,290,v1
421,4,sleep_analysis,2025-05-20 05:08:00,95,v1
422,4,readiness_insight,2025-05-20 06:57:00,150,v1
423,4,sleep_analysis,2025-05-20 06:47:00,162,v2
424,5,activity_trend,2025-02-06 14:59:00,132,v2
425,5,activity_trend,2025-02-10 02:13:00,155,v1
426,5,recovery_report,2025-02-10 02:12:00,218,v2
427,5,activity_trend,2025-03-17 03:37:00,53,v2
428,5,recovery_report,2025-04-11 00:04:00,229,v2
429,5,activity_trend,2025-04-25 07:45:00,41,v2
430,5,readiness_insight,2025-04-25 07:54:00,283,v2
431,5,premium_deep_insight,2025-04-27 11:07:00,40,v2
432,5,sleep_analysis,2025-05-16 08:45:00,38,v2
433,6,recovery_report,2025-01-22 13:52:00,145,v2
434,6,readiness_insight,2025-02-13 11:50:00,254,v1
435,6,readiness_insight,2025-02-13 11:45:00,105,v1
436,6,premium_deep_insight,2025-02-22 08:44:00,108,v2
437,6,activity_trend,2025-02-22 08:32:00,187,v1
438,6,premium_deep_insight,2025-03-03 22:54:00,249,v1
439,6,readiness_insight,2025-03-03 22:42:00,149,v2
440,6,activity_trend,2025-03-10 06:29:00,230,v1
441,6,readiness_insight,2025-03-10 06:47:00,240,v1
442,6,recovery_report,2025-03-16 05:00:00,110,v2
443,6,recovery_report,2025-03-16 05:06:00,297,v1
444,6,premium_deep_insight,2025-03-24 03:00:00,109,v2
445,6,readiness_insight,2025-03-24 02:55:00,141,v2
446,6,readiness_insight,2025-03-26 09:04:00,201,v2
447,6,sleep_analysis,2025-03-26 09:20:00,257,v2
448,6,activity_trend,2025-03-30 15:07:00,234,v2
449,6,recovery_report,2025-03-30 15:08:00,238,v2
450,6,activity_trend,2025-03-31 22:38:00,38,v1
451,6,activity_trend,2025-03-31 22:37:00,129,v2
452,6,recovery_report,2025-04-21 03:31:00,286,v2
453,6,recovery_report,2025-04-21 03:24:00,19,v1
454,6,readiness_insight,2025-04-28 11:57:00,97,v2
455,6,recovery_report,2025-04-28 12:03:00,99,v2
456,6,activity_trend,2025-04-29 06:49:00,203,v2
457,6,recovery_report,2025-04-29 06:44:00,183,v2
458,6,activity_trend,2025-05-03 12:24:00,125,v1
459,6,sleep_analysis,2025-05-03 12:18:00,71,v1
460,7,recovery_report,2025-01-21 00:41:00,234,v2
461,7,premium_deep_insight,2025-01-21 00:33:00,61,v2
462,7,sleep_analysis,2025-01-28 20:18:00,59,v2
463,7,recovery_report,2025-01-28 20:22:00,143,v1
464,7,premium_deep_insight,2025-02-14 19:24:00,239,v1
465,7,activity_trend,2025-02-14 19:24:00,265,v1
466,7,activity_trend,2025-02-23 19:33:00,99,v2
467,7,activity_trend,2025-03-01 00:23:00,33,v2
468,7,readiness_insight,2025-03-01 09:28:00,285,v2
469,7,readiness_insight,2025-03-01 09:31:00,245,v2
470,7,recovery_report,2025-03-05 09:37:00,135,v1
471,7,sleep_analysis,2025-03-07 12:07:00,185,v1
472,7,recovery_report,2025-03-07 12:07:00,275,v2
473,7,premium_deep_insight,2025-03-09 17:18:00,266,v2
474,7,premium_deep_insight,2025-03-25 11:39:00,155,v1
475,7,activity_trend,2025-03-25 11:22:00,26,v2
476,7,readiness_insight,2025-03-26 12:20:00,174,v2
477,7,recovery_report,2025-03-28 22:40:00,36,v2
478,7,sleep_analysis,2025-04-06 13:45:00,274,v1
